spec_dir,clip_dir,speaker_count,speakers
data\specs_libricss\0L_session0_clip1.pt,data\clips_libricss\0L_session0_clip1.wav,0,[]
data\specs_libricss\0L_session0_clip10.pt,data\clips_libricss\0L_session0_clip10.wav,1,['8224']
data\specs_libricss\0L_session0_clip100.pt,data\clips_libricss\0L_session0_clip100.wav,1,['3575']
data\specs_libricss\0L_session0_clip101.pt,data\clips_libricss\0L_session0_clip101.wav,1,['3575']
data\specs_libricss\0L_session0_clip102.pt,data\clips_libricss\0L_session0_clip102.wav,1,['3575']
data\specs_libricss\0L_session0_clip103.pt,data\clips_libricss\0L_session0_clip103.wav,1,['3575']
data\specs_libricss\0L_session0_clip104.pt,data\clips_libricss\0L_session0_clip104.wav,1,['3575']
data\specs_libricss\0L_session0_clip105.pt,data\clips_libricss\0L_session0_clip105.wav,1,['3575']
data\specs_libricss\0L_session0_clip106.pt,data\clips_libricss\0L_session0_clip106.wav,1,['3575']
data\specs_libricss\0L_session0_clip107.pt,data\clips_libricss\0L_session0_clip107.wav,1,['3575']
data\specs_libricss\0L_session0_clip108.pt,data\clips_libricss\0L_session0_clip108.wav,1,['3575']
data\specs_libricss\0L_session0_clip109.pt,data\clips_libricss\0L_session0_clip109.wav,1,['3575']
data\specs_libricss\0L_session0_clip11.pt,data\clips_libricss\0L_session0_clip11.wav,1,['8224']
data\specs_libricss\0L_session0_clip110.pt,data\clips_libricss\0L_session0_clip110.wav,1,['3575']
data\specs_libricss\0L_session0_clip111.pt,data\clips_libricss\0L_session0_clip111.wav,1,['3575']
data\specs_libricss\0L_session0_clip112.pt,data\clips_libricss\0L_session0_clip112.wav,1,['3575']
data\specs_libricss\0L_session0_clip113.pt,data\clips_libricss\0L_session0_clip113.wav,1,['3575']
data\specs_libricss\0L_session0_clip114.pt,data\clips_libricss\0L_session0_clip114.wav,0,[]
data\specs_libricss\0L_session0_clip115.pt,data\clips_libricss\0L_session0_clip115.wav,0,[]
data\specs_libricss\0L_session0_clip116.pt,data\clips_libricss\0L_session0_clip116.wav,1,['5683']
data\specs_libricss\0L_session0_clip117.pt,data\clips_libricss\0L_session0_clip117.wav,1,['5683']
data\specs_libricss\0L_session0_clip118.pt,data\clips_libricss\0L_session0_clip118.wav,1,['5683']
data\specs_libricss\0L_session0_clip119.pt,data\clips_libricss\0L_session0_clip119.wav,1,['5683']
data\specs_libricss\0L_session0_clip12.pt,data\clips_libricss\0L_session0_clip12.wav,1,['8224']
data\specs_libricss\0L_session0_clip120.pt,data\clips_libricss\0L_session0_clip120.wav,0,[]
data\specs_libricss\0L_session0_clip121.pt,data\clips_libricss\0L_session0_clip121.wav,0,[]
data\specs_libricss\0L_session0_clip122.pt,data\clips_libricss\0L_session0_clip122.wav,1,['121']
data\specs_libricss\0L_session0_clip123.pt,data\clips_libricss\0L_session0_clip123.wav,1,['121']
data\specs_libricss\0L_session0_clip124.pt,data\clips_libricss\0L_session0_clip124.wav,1,['121']
data\specs_libricss\0L_session0_clip125.pt,data\clips_libricss\0L_session0_clip125.wav,1,['121']
data\specs_libricss\0L_session0_clip126.pt,data\clips_libricss\0L_session0_clip126.wav,1,['121']
data\specs_libricss\0L_session0_clip127.pt,data\clips_libricss\0L_session0_clip127.wav,1,['121']
data\specs_libricss\0L_session0_clip128.pt,data\clips_libricss\0L_session0_clip128.wav,1,['121']
data\specs_libricss\0L_session0_clip129.pt,data\clips_libricss\0L_session0_clip129.wav,1,['121']
data\specs_libricss\0L_session0_clip13.pt,data\clips_libricss\0L_session0_clip13.wav,1,['8224']
data\specs_libricss\0L_session0_clip130.pt,data\clips_libricss\0L_session0_clip130.wav,1,['121']
data\specs_libricss\0L_session0_clip131.pt,data\clips_libricss\0L_session0_clip131.wav,1,['121']
data\specs_libricss\0L_session0_clip132.pt,data\clips_libricss\0L_session0_clip132.wav,1,['121']
data\specs_libricss\0L_session0_clip133.pt,data\clips_libricss\0L_session0_clip133.wav,1,['121']
data\specs_libricss\0L_session0_clip134.pt,data\clips_libricss\0L_session0_clip134.wav,1,['121']
data\specs_libricss\0L_session0_clip135.pt,data\clips_libricss\0L_session0_clip135.wav,1,['121']
data\specs_libricss\0L_session0_clip136.pt,data\clips_libricss\0L_session0_clip136.wav,0,[]
data\specs_libricss\0L_session0_clip137.pt,data\clips_libricss\0L_session0_clip137.wav,0,[]
data\specs_libricss\0L_session0_clip138.pt,data\clips_libricss\0L_session0_clip138.wav,0,[]
data\specs_libricss\0L_session0_clip139.pt,data\clips_libricss\0L_session0_clip139.wav,1,['8224']
data\specs_libricss\0L_session0_clip14.pt,data\clips_libricss\0L_session0_clip14.wav,1,['8224']
data\specs_libricss\0L_session0_clip140.pt,data\clips_libricss\0L_session0_clip140.wav,1,['8224']
data\specs_libricss\0L_session0_clip141.pt,data\clips_libricss\0L_session0_clip141.wav,1,['8224']
data\specs_libricss\0L_session0_clip142.pt,data\clips_libricss\0L_session0_clip142.wav,0,[]
data\specs_libricss\0L_session0_clip143.pt,data\clips_libricss\0L_session0_clip143.wav,0,[]
data\specs_libricss\0L_session0_clip144.pt,data\clips_libricss\0L_session0_clip144.wav,1,['8224']
data\specs_libricss\0L_session0_clip145.pt,data\clips_libricss\0L_session0_clip145.wav,1,['8224']
data\specs_libricss\0L_session0_clip146.pt,data\clips_libricss\0L_session0_clip146.wav,1,['8224']
data\specs_libricss\0L_session0_clip147.pt,data\clips_libricss\0L_session0_clip147.wav,1,['8224']
data\specs_libricss\0L_session0_clip148.pt,data\clips_libricss\0L_session0_clip148.wav,1,['8224']
