spec_dir,clip_dir,speaker_count,speakers
data\specs_rir\largeroom1_10_clip1.pt,data\clips_rir\largeroom1_10_clip1.wav,0,[]
data\specs_rir\largeroom1_10_clip10.pt,data\clips_rir\largeroom1_10_clip10.wav,0,[]
data\specs_rir\largeroom1_10_clip11.pt,data\clips_rir\largeroom1_10_clip11.wav,0,[]
data\specs_rir\largeroom1_10_clip12.pt,data\clips_rir\largeroom1_10_clip12.wav,0,[]
data\specs_rir\largeroom1_10_clip13.pt,data\clips_rir\largeroom1_10_clip13.wav,0,[]
data\specs_rir\largeroom1_10_clip14.pt,data\clips_rir\largeroom1_10_clip14.wav,0,[]
data\specs_rir\largeroom1_10_clip15.pt,data\clips_rir\largeroom1_10_clip15.wav,0,[]
data\specs_rir\largeroom1_10_clip16.pt,data\clips_rir\largeroom1_10_clip16.wav,0,[]
data\specs_rir\largeroom1_10_clip17.pt,data\clips_rir\largeroom1_10_clip17.wav,0,[]
data\specs_rir\largeroom1_10_clip18.pt,data\clips_rir\largeroom1_10_clip18.wav,0,[]
data\specs_rir\largeroom1_10_clip19.pt,data\clips_rir\largeroom1_10_clip19.wav,0,[]
data\specs_rir\largeroom1_10_clip2.pt,data\clips_rir\largeroom1_10_clip2.wav,0,[]
data\specs_rir\largeroom1_10_clip20.pt,data\clips_rir\largeroom1_10_clip20.wav,0,[]
data\specs_rir\largeroom1_10_clip21.pt,data\clips_rir\largeroom1_10_clip21.wav,0,[]
data\specs_rir\largeroom1_10_clip22.pt,data\clips_rir\largeroom1_10_clip22.wav,0,[]
data\specs_rir\largeroom1_10_clip23.pt,data\clips_rir\largeroom1_10_clip23.wav,0,[]
data\specs_rir\largeroom1_10_clip24.pt,data\clips_rir\largeroom1_10_clip24.wav,0,[]
data\specs_rir\largeroom1_10_clip25.pt,data\clips_rir\largeroom1_10_clip25.wav,0,[]
data\specs_rir\largeroom1_10_clip26.pt,data\clips_rir\largeroom1_10_clip26.wav,0,[]
data\specs_rir\largeroom1_10_clip27.pt,data\clips_rir\largeroom1_10_clip27.wav,0,[]
data\specs_rir\largeroom1_10_clip28.pt,data\clips_rir\largeroom1_10_clip28.wav,0,[]
data\specs_rir\largeroom1_10_clip29.pt,data\clips_rir\largeroom1_10_clip29.wav,0,[]
data\specs_rir\largeroom1_10_clip3.pt,data\clips_rir\largeroom1_10_clip3.wav,0,[]
data\specs_rir\largeroom1_10_clip30.pt,data\clips_rir\largeroom1_10_clip30.wav,0,[]
data\specs_rir\largeroom1_10_clip4.pt,data\clips_rir\largeroom1_10_clip4.wav,0,[]
data\specs_rir\largeroom1_10_clip5.pt,data\clips_rir\largeroom1_10_clip5.wav,0,[]
data\specs_rir\largeroom1_10_clip6.pt,data\clips_rir\largeroom1_10_clip6.wav,0,[]
data\specs_rir\largeroom1_10_clip7.pt,data\clips_rir\largeroom1_10_clip7.wav,0,[]
