clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_45001.wav,data\clips_aug\overlay_17910.wav,data\clips_aug\overlay_17264.wav,4,"['2094', '8230', '6829', '2300']"
data\clips_aug\overlay_45002.wav,data\clips_aug\overlay_173.wav,data\clips_aug\overlay_4363.wav,4,"['5105', '7021', '1188', '4077']"
data\clips_aug\overlay_45003.wav,data\clips_aug\overlay_3102.wav,data\clips_libricss\OV20_session1_clip213.wav,4,"['4507', '2300', '260', '4446']"
data\clips_aug\overlay_45004.wav,data\clips_aug\overlay_9508.wav,data\clips_aug\overlay_16663.wav,4,"['8224', '1995', '1089', '3729']"
data\clips_aug\overlay_45005.wav,data\clips_aug\overlay_14054.wav,data\clips_libricss\OV40_session4_clip50.wav,4,"['8224', '2094', '8555', '1188']"
data\clips_aug\overlay_45006.wav,data\clips_aug\overlay_13354.wav,data\clips_aug\overlay_8695.wav,4,"['7729', '3570', '8224', '3575']"
data\clips_aug\overlay_45007.wav,data\clips_aug\overlay_9073.wav,data\clips_libricss\OV30_session5_clip182.wav,4,"['2830', '1221', '4077', '3729']"
data\clips_aug\overlay_45008.wav,data\clips_aug\overlay_17472.wav,data\clips_libricss\OV40_session9_clip55.wav,4,"['3729', '260', '8224', '1284']"
data\clips_aug\overlay_45009.wav,data\clips_libricss\OV30_session0_clip42.wav,data\clips_libricss\OV40_session8_clip386.wav,4,"['672', '1089', '6930', '8230']"
data\clips_aug\overlay_45010.wav,data\clips_libricss\0S_session4_clip116.wav,data\clips_libricss\OV40_session7_clip299.wav,4,"['2961', '4970', '1221', '8455']"
data\clips_aug\overlay_45011.wav,data\clips_libricss\OV10_session9_clip98.wav,data\clips_aug\overlay_18288.wav,4,"['3570', '5639', '8230', '3575']"
data\clips_aug\overlay_45012.wav,data\clips_aug\overlay_19051.wav,data\clips_libricss\OV20_session1_clip136.wav,4,"['1089', '1284', '260', '4446']"
data\clips_aug\overlay_45013.wav,data\clips_aug\overlay_17745.wav,data\clips_aug\overlay_16780.wav,4,"['8230', '1320', '1995', '7176']"
data\clips_aug\overlay_45014.wav,data\clips_aug\overlay_2212.wav,data\clips_aug\overlay_7097.wav,4,"['4992', '2961', '7729', '1580']"
data\clips_aug\overlay_45015.wav,data\clips_aug\overlay_18831.wav,data\clips_libricss\OV30_session2_clip126.wav,4,"['1188', '3575', '61', '1284']"
data\clips_aug\overlay_45016.wav,data\clips_aug\overlay_3713.wav,data\clips_aug\overlay_13601.wav,4,"['1580', '3570', '1995', '4077']"
data\clips_aug\overlay_45017.wav,data\clips_libricss\OV20_session2_clip424.wav,data\clips_aug\overlay_12388.wav,4,"['4507', '1580', '6930', '5105']"
data\clips_aug\overlay_45018.wav,data\clips_aug\overlay_6689.wav,data\clips_aug\overlay_2301.wav,4,"['8230', '61', '6829', '8224']"
data\clips_aug\overlay_45019.wav,data\clips_aug\overlay_8664.wav,data\clips_aug\overlay_14662.wav,4,"['7729', '2300', '1284', '8230']"
data\clips_aug\overlay_45020.wav,data\clips_libricss\0S_session7_clip149.wav,data\clips_aug\overlay_7973.wav,4,"['260', '121', '5105', '2300']"
data\clips_aug\overlay_45021.wav,data\clips_aug\overlay_9537.wav,data\clips_libricss\OV30_session7_clip291.wav,4,"['8455', '260', '2300', '4446']"
data\clips_aug\overlay_45022.wav,data\clips_aug\overlay_16136.wav,data\clips_aug\overlay_19849.wav,4,"['4077', '8463', '121', '1284']"
data\clips_aug\overlay_45023.wav,data\clips_aug\overlay_15998.wav,data\clips_aug\overlay_1927.wav,4,"['7729', '4507', '1089', '5639']"
