spec_dir,clip_dir,speaker_count,speakers
data\author_data\specs_real\Recording_downstairs1_clip1.pt,data\author_data\clips_real\Recording_downstairs1_clip1.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip10.pt,data\author_data\clips_real\Recording_downstairs1_clip10.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip100.pt,data\author_data\clips_real\Recording_downstairs1_clip100.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1000.pt,data\author_data\clips_real\Recording_downstairs1_clip1000.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1001.pt,data\author_data\clips_real\Recording_downstairs1_clip1001.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1002.pt,data\author_data\clips_real\Recording_downstairs1_clip1002.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1003.pt,data\author_data\clips_real\Recording_downstairs1_clip1003.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1004.pt,data\author_data\clips_real\Recording_downstairs1_clip1004.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1005.pt,data\author_data\clips_real\Recording_downstairs1_clip1005.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1006.pt,data\author_data\clips_real\Recording_downstairs1_clip1006.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1007.pt,data\author_data\clips_real\Recording_downstairs1_clip1007.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1008.pt,data\author_data\clips_real\Recording_downstairs1_clip1008.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1009.pt,data\author_data\clips_real\Recording_downstairs1_clip1009.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip101.pt,data\author_data\clips_real\Recording_downstairs1_clip101.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1010.pt,data\author_data\clips_real\Recording_downstairs1_clip1010.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1011.pt,data\author_data\clips_real\Recording_downstairs1_clip1011.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1012.pt,data\author_data\clips_real\Recording_downstairs1_clip1012.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1013.pt,data\author_data\clips_real\Recording_downstairs1_clip1013.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1014.pt,data\author_data\clips_real\Recording_downstairs1_clip1014.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1015.pt,data\author_data\clips_real\Recording_downstairs1_clip1015.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1016.pt,data\author_data\clips_real\Recording_downstairs1_clip1016.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1017.pt,data\author_data\clips_real\Recording_downstairs1_clip1017.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1018.pt,data\author_data\clips_real\Recording_downstairs1_clip1018.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1019.pt,data\author_data\clips_real\Recording_downstairs1_clip1019.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip102.pt,data\author_data\clips_real\Recording_downstairs1_clip102.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1020.pt,data\author_data\clips_real\Recording_downstairs1_clip1020.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1021.pt,data\author_data\clips_real\Recording_downstairs1_clip1021.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1022.pt,data\author_data\clips_real\Recording_downstairs1_clip1022.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1023.pt,data\author_data\clips_real\Recording_downstairs1_clip1023.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1024.pt,data\author_data\clips_real\Recording_downstairs1_clip1024.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1025.pt,data\author_data\clips_real\Recording_downstairs1_clip1025.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1026.pt,data\author_data\clips_real\Recording_downstairs1_clip1026.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1027.pt,data\author_data\clips_real\Recording_downstairs1_clip1027.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1028.pt,data\author_data\clips_real\Recording_downstairs1_clip1028.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1029.pt,data\author_data\clips_real\Recording_downstairs1_clip1029.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip103.pt,data\author_data\clips_real\Recording_downstairs1_clip103.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1030.pt,data\author_data\clips_real\Recording_downstairs1_clip1030.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1031.pt,data\author_data\clips_real\Recording_downstairs1_clip1031.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1032.pt,data\author_data\clips_real\Recording_downstairs1_clip1032.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1033.pt,data\author_data\clips_real\Recording_downstairs1_clip1033.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1034.pt,data\author_data\clips_real\Recording_downstairs1_clip1034.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1035.pt,data\author_data\clips_real\Recording_downstairs1_clip1035.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1036.pt,data\author_data\clips_real\Recording_downstairs1_clip1036.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1037.pt,data\author_data\clips_real\Recording_downstairs1_clip1037.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1038.pt,data\author_data\clips_real\Recording_downstairs1_clip1038.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1039.pt,data\author_data\clips_real\Recording_downstairs1_clip1039.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip104.pt,data\author_data\clips_real\Recording_downstairs1_clip104.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1040.pt,data\author_data\clips_real\Recording_downstairs1_clip1040.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1041.pt,data\author_data\clips_real\Recording_downstairs1_clip1041.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1042.pt,data\author_data\clips_real\Recording_downstairs1_clip1042.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1043.pt,data\author_data\clips_real\Recording_downstairs1_clip1043.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1044.pt,data\author_data\clips_real\Recording_downstairs1_clip1044.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1045.pt,data\author_data\clips_real\Recording_downstairs1_clip1045.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1046.pt,data\author_data\clips_real\Recording_downstairs1_clip1046.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1047.pt,data\author_data\clips_real\Recording_downstairs1_clip1047.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1048.pt,data\author_data\clips_real\Recording_downstairs1_clip1048.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1049.pt,data\author_data\clips_real\Recording_downstairs1_clip1049.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip105.pt,data\author_data\clips_real\Recording_downstairs1_clip105.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1050.pt,data\author_data\clips_real\Recording_downstairs1_clip1050.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1051.pt,data\author_data\clips_real\Recording_downstairs1_clip1051.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1052.pt,data\author_data\clips_real\Recording_downstairs1_clip1052.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1053.pt,data\author_data\clips_real\Recording_downstairs1_clip1053.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1054.pt,data\author_data\clips_real\Recording_downstairs1_clip1054.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1055.pt,data\author_data\clips_real\Recording_downstairs1_clip1055.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1056.pt,data\author_data\clips_real\Recording_downstairs1_clip1056.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1057.pt,data\author_data\clips_real\Recording_downstairs1_clip1057.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1058.pt,data\author_data\clips_real\Recording_downstairs1_clip1058.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1059.pt,data\author_data\clips_real\Recording_downstairs1_clip1059.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip106.pt,data\author_data\clips_real\Recording_downstairs1_clip106.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1060.pt,data\author_data\clips_real\Recording_downstairs1_clip1060.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1061.pt,data\author_data\clips_real\Recording_downstairs1_clip1061.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1062.pt,data\author_data\clips_real\Recording_downstairs1_clip1062.wav,0,[]
data\author_data\specs_real\Recording_downstairs1_clip1063.pt,data\author_data\clips_real\Recording_downstairs1_clip1063.wav,0,[]
